token	corpus size	all contexts size	frequency	co-frequency	specificity
ST	44732	21391	13	6	0.67
الآخرين	44732	21391	12	6	0.65
التقدم	44732	21391	12	6	0.65
الآن	44732	21391	12	6	0.65
خير	44732	21391	12	6	0.65
حياتنا	44732	21391	12	6	0.65
الظن	44732	21391	12	6	0.65
الشك	44732	21391	12	6	0.65
هما	44732	21391	4	3	0.64
الأعصاب	44732	21391	4	3	0.64
بالتشاؤم،	44732	21391	4	3	0.64
العظيمة	44732	21391	4	3	0.64
الخلف	44732	21391	4	3	0.64
صادق	44732	21391	4	3	0.64
كارليل	44732	21391	4	3	0.64
بداخلك	44732	21391	4	3	0.64
أسوأ	44732	21391	4	3	0.64
تشعر	44732	21391	4	3	0.64
قدرتهم	44732	21391	4	3	0.64
العقبات،	44732	21391	4	3	0.64
تجنب	44732	21391	4	3	0.64
العلاقات	44732	21391	4	3	0.64
بخيبة	44732	21391	4	3	0.64
آثار	44732	21391	4	3	0.64
الكفر	44732	21391	4	3	0.64
التحلي	44732	21391	4	3	0.64
34	44732	21391	4	3	0.64
2025	44732	21391	4	3	0.64
شَيْئًا	44732	21391	4	3	0.64
المرة	44732	21391	4	3	0.64
يضيف	44732	21391	4	3	0.64
تناول	44732	21391	4	3	0.64
حياته،	44732	21391	4	3	0.64
تقوم	44732	21391	4	3	0.64
يُستخدم	44732	21391	4	3	0.64
صور	44732	21391	4	3	0.64
2014	44732	21391	4	3	0.64
نجاح	44732	21391	4	3	0.64
وتحفيز	44732	21391	4	3	0.64
الآتي	44732	21391	4	3	0.64
زيادة	44732	21391	4	3	0.64
المرجو	44732	21391	4	3	0.64
﻿	44732	21391	4	3	0.64
يمكنك	44732	21391	4	3	0.64
المشكلات	44732	21391	4	3	0.64
2023	44732	21391	4	3	0.64
تبعًا	44732	21391	4	3	0.64
المتوقعة	44732	21391	4	3	0.64
الخيار	44732	21391	4	3	0.64
وسلم،	44732	21391	4	3	0.64
بقي	44732	21391	4	3	0.64
وكذلك	44732	21391	4	3	0.64
يسعى	44732	21391	4	3	0.64
فسحة	44732	21391	4	3	0.64
ويرجو	44732	21391	4	3	0.64
جعل	44732	21391	4	3	0.64
علماء	44732	21391	4	3	0.64
تدل	44732	21391	4	3	0.64
لطبيعة	44732	21391	4	3	0.64
الصعاب	44732	21391	4	3	0.64
العنصر	44732	21391	4	3	0.64
الشمس،	44732	21391	4	3	0.64
ربيع	44732	21391	4	3	0.64
صاحبه	44732	21391	4	3	0.64
فان	44732	21391	4	3	0.64
فالمؤمن	44732	21391	4	3	0.64
بيد	44732	21391	4	3	0.64
الحقيقة	44732	21391	4	3	0.64
بعمق	44732	21391	4	3	0.64
ارتباط	44732	21391	4	3	0.64
ورجاء	44732	21391	4	3	0.64
سعيد	44732	21391	4	3	0.64
يحصل	44732	21391	4	3	0.64
التوقع	44732	21391	4	3	0.64
لقياس	44732	21391	4	3	0.64
قرب	44732	21391	4	3	0.64
الآلهة	44732	21391	4	3	0.64
تمامًا	44732	21391	4	3	0.64
والنجاح	44732	21391	4	3	0.64
بالثقة	44732	21391	4	3	0.64
الفلسفي	44732	21391	4	3	0.64
القرنين	44732	21391	4	3	0.64
السابع	44732	21391	4	3	0.64
والثامن	44732	21391	4	3	0.64
تحليل	44732	21391	4	3	0.64
محاورة	44732	21391	4	3	0.64
أرسطو	44732	21391	4	3	0.64
الاعتماد	44732	21391	4	3	0.64
المعاناة	44732	21391	4	3	0.64
2020a	44732	21391	4	3	0.64
الغاية	44732	21391	4	3	0.64
يتبنى	44732	21391	4	3	0.64
الذهني	44732	21391	4	3	0.64
نيتشه	44732	21391	4	3	0.64
قوس	44732	21391	4	3	0.64
قزح	44732	21391	4	3	0.64
القائل	44732	21391	4	3	0.64
1999	44732	21391	4	3	0.64
Milona	44732	21391	4	3	0.64
علاوة	44732	21391	4	3	0.64
فتتعلم	44732	21391	4	3	0.64
الصفدي	44732	21391	2	2	0.64
تذكّر	44732	21391	2	2	0.64
جيّد،	44732	21391	2	2	0.64
الجيّدة	44732	21391	2	2	0.64
الإنجاز،	44732	21391	2	2	0.64
محلّ	44732	21391	2	2	0.64
الدجاجة	44732	21391	2	2	0.64
البيضة	44732	21391	2	2	0.64
البيضاء	44732	21391	2	2	0.64
مفتوحاً	44732	21391	2	2	0.64
أفق	44732	21391	2	2	0.64
فيعيد	44732	21391	2	2	0.64
لأيامك	44732	21391	2	2	0.64
البهجة	44732	21391	2	2	0.64
لقلبك	44732	21391	2	2	0.64
نصفها	44732	21391	2	2	0.64
يَتحول	44732	21391	2	2	0.64
كُلّ	44732	21391	2	2	0.64
ضدك	44732	21391	2	2	0.64
معك،	44732	21391	2	2	0.64
براءة	44732	21391	2	2	0.64
قلوبهم،	44732	21391	2	2	0.64
يزرعون	44732	21391	2	2	0.64
بقربهم	44732	21391	2	2	0.64
مقتبسة	44732	21391	2	2	0.64
العواقب	44732	21391	2	2	0.64
بكاء	44732	21391	2	2	0.64
PM	44732	21391	2	2	0.64
الأساسية	44732	21391	2	2	0.64
والنمو	44732	21391	2	2	0.64
ارتباطاً	44732	21391	2	2	0.64
وثيقاً	44732	21391	2	2	0.64
والاستقرار	44732	21391	2	2	0.64
للإنسان،	44732	21391	2	2	0.64
الضغوط	44732	21391	2	2	0.64
التخلص	44732	21391	2	2	0.64
التكيّف	44732	21391	2	2	0.64
يحسن	44732	21391	2	2	0.64
الأمراض	44732	21391	2	2	0.64
الدموية،	44732	21391	2	2	0.64
فالنظرة	44732	21391	2	2	0.64
المتفائلة	44732	21391	2	2	0.64
الإصابة	44732	21391	2	2	0.64
ليشمل	44732	21391	2	2	0.64
العاطفية	44732	21391	2	2	0.64
للنمو	44732	21391	2	2	0.64
ضرورية	44732	21391	2	2	0.64
للشعور	44732	21391	2	2	0.64
تتذكر	44732	21391	2	2	0.64
يسبق	44732	21391	2	2	0.64
لتحديد	44732	21391	2	2	0.64
عدد	44732	21391	2	2	0.64
المؤمل	44732	21391	2	2	0.64
ينعدم	44732	21391	2	2	0.64
ومنهم	44732	21391	2	2	0.64
يضره	44732	21391	2	2	0.64
آية	44732	21391	2	2	0.64
وتمني	44732	21391	2	2	0.64
عليكم	44732	21391	2	2	0.64
الأمد	44732	21391	2	2	0.64
السيء	44732	21391	2	2	0.64
لطول	44732	21391	2	2	0.64
يفسد	44732	21391	2	2	0.64
أدرك	44732	21391	2	2	0.64
جماع	44732	21391	2	2	0.64
الاتكال	44732	21391	2	2	0.64
ويبذل	44732	21391	2	2	0.64
19	44732	21391	2	2	0.64
أسلحة	44732	21391	2	2	0.64
المذنبين	44732	21391	2	2	0.64
31	44732	21391	2	2	0.64
يحث	44732	21391	2	2	0.64
35	44732	21391	2	2	0.64
دوماً	44732	21391	2	2	0.64
واجه	44732	21391	2	2	0.64
36	44732	21391	2	2	0.64
جاءت	44732	21391	2	2	0.64
بالموت	44732	21391	2	2	0.64
الزحام	44732	21391	2	2	0.64
الأحد	44732	21391	2	2	0.64
المعتدل	44732	21391	2	2	0.64
ملك	44732	21391	2	2	0.64
واختياره،	44732	21391	2	2	0.64
بواسطة	44732	21391	2	2	0.64
الدوام	44732	21391	2	2	0.64
التعب	44732	21391	2	2	0.64
والعافية،	44732	21391	2	2	0.64
الزاهر،	44732	21391	2	2	0.64
وبث	44732	21391	2	2	0.64
يسيطر	44732	21391	2	2	0.64
الدؤوب	44732	21391	2	2	0.64
نوعين	44732	21391	2	2	0.64
والآخر	44732	21391	2	2	0.64
مذموم	44732	21391	2	2	0.64
طويل،	44732	21391	2	2	0.64
فـ	44732	21391	2	2	0.64
حدّ	44732	21391	2	2	0.64
وصار	44732	21391	2	2	0.64
وجلّ،	44732	21391	2	2	0.64
والإرادة	44732	21391	2	2	0.64
وأملهم	44732	21391	2	2	0.64
هدي	44732	21391	2	2	0.64
مصحوباً	44732	21391	2	2	0.64
بأمور	44732	21391	2	2	0.64
clocksvg	44732	21391	2	2	0.64
كانون	44732	21391	2	2	0.64
علامة	44732	21391	2	2	0.64
باركود	44732	21391	2	2	0.64
عبدالوهاب	44732	21391	2	2	0.64
عمارة	44732	21391	2	2	0.64
الإضافة	44732	21391	2	2	0.64
ميلادي	44732	21391	2	2	0.64
هجري	44732	21391	2	2	0.64
أحوجَنا	44732	21391	2	2	0.64
زمن	44732	21391	2	2	0.64
الفتن	44732	21391	2	2	0.64
والغموض	44732	21391	2	2	0.64
يدري؟	44732	21391	2	2	0.64
مجهول،	44732	21391	2	2	0.64
طيب	44732	21391	2	2	0.64
مستبعد	44732	21391	2	2	0.64
وانشراح	44732	21391	2	2	0.64
والأزمات	44732	21391	2	2	0.64
للأمة	44732	21391	2	2	0.64
للجسد	44732	21391	2	2	0.64
الربح	44732	21391	2	2	0.64
قُلْ	44732	21391	2	2	0.64
عِبَادِيَ	44732	21391	2	2	0.64
الَّذِينَ	44732	21391	2	2	0.64
أَسْرَفُوا	44732	21391	2	2	0.64
أَنفُسِهِمْ	44732	21391	2	2	0.64
غام	44732	21391	2	2	0.64
الجو	44732	21391	2	2	0.64
وغاب	44732	21391	2	2	0.64
ظلال	44732	21391	2	2	0.64
وثقل	44732	21391	2	2	0.64
وأخاه	44732	21391	2	2	0.64
فيرد	44732	21391	2	2	0.64
المتخلف	44732	21391	2	2	0.64
يسمون	44732	21391	2	2	0.64
شرعة	44732	21391	2	2	0.64
ودينه	44732	21391	2	2	0.64
ويدعو	44732	21391	2	2	0.64
ففيما	44732	21391	2	2	0.64
عَدِىِّ	44732	21391	2	2	0.64
بْنِ	44732	21391	2	2	0.64
حَاتِمٍ	44732	21391	2	2	0.64
والواقع	44732	21391	2	2	0.64
وقعت	44732	21391	2	2	0.64
حربان	44732	21391	2	2	0.64
عالميتان	44732	21391	2	2	0.64
وكانت	44732	21391	2	2	0.64
En	44732	21391	2	2	0.64
لحظي	44732	21391	2	2	0.64
السوري،	44732	21391	2	2	0.64
شهد	44732	21391	2	2	0.64
عقدًا	44732	21391	2	2	0.64
المتواصلة،	44732	21391	2	2	0.64
برز	44732	21391	2	2	0.64
كخط	44732	21391	2	2	0.64
داخلي،	44732	21391	2	2	0.64
ويحوّل	44732	21391	2	2	0.64
أعمدة	44732	21391	2	2	0.64
